Website,Title,Employer,Location,lat,lon,Country,Skills,Skills1,Skills2,Skills3,Skills4,Skills5,Skills6,Skill,Jobs,Country_Percentage,Skills_Percentage,NumberSkills,NumberCountry
http://careers.stackoverflow.com/jobs/80975/software-engineer-hotel-data-management-trivago-gmbh,"Software Engineer - Hotel Data Management at trivago GmbH (D’Û_—ù’ÛÎÙ’_Î©___’Û_—ù’ÛÎÙ’_Î©’Û_—ù’ÛÎÙ’_Î©_sseldorf, Deutschland)",trivago GmbH,Dusseldorf,51.22172,6.77616,Germany,"mysql,computer,sciene",mysql,computer,sciene,,,,Cloud Computing,1,45,6.08,1,1
http://careers.stackoverflow.com/jobs/81194/global-head-of-business-intelligence-m-f-westwing-home-living,"Global Head of Business Intelligence (m/f) - Munich, Germany at Westwing Home & Living (M’Û_—ù’ÛÎÙ’_Î©___’Û_—ù’ÛÎÙ’_Î©’Û_—ù’ÛÎÙ’_Î©_nchen, Deutschland)",Westwing Home & Living,Munich,48.13743,11.57549,Germany,"e-commerce,analytics,business-intelligence,data,data-driven",e-commerce,analytics,business-intelligence,data,data-driven,,Business Intelligence,1,20,2.8,1,1
http://careers.stackoverflow.com/jobs/83479/java-software-developer-adclear-gmbh,"Java software developer at AdClear GmbH (Berlin, Deutschland)",AdClear GmbH,Berlin,52.52437,13.41053,Germany,"java,eclipse,maven",java,eclipse,maven,,,,Data Governance,1,7.14,3.33,1,1
http://careers.stackoverflow.com/jobs/83962/java-backend-developer-m-f-visual-meta-gmbh,"Java Backend Developer (m/f) at Visual Meta GmbH (Berlin, Deutschland)",Visual Meta GmbH,Berlin,52.52437,13.41053,Germany,"hadoop,hbase,java,machine-learning,search",hadoop,hbase,java,machine-learning,search,,Data Engineering,1,28.57,2.6,1,1
http://careers.stackoverflow.com/jobs/83965/java-frontend-developer-m-f-visual-meta-gmbh,"Java Frontend Developer (m/f) at Visual Meta GmbH (Berlin, Deutschland)",Visual Meta GmbH,Berlin,52.52437,13.41053,Germany,"java,css,jquery,html5,selenium",java,css,jquery,html5,selenium,,Cloud Computing,1,28.57,2.7,1,1
http://careers.stackoverflow.com/jobs/84092/software-engineer-team-lead-hadoop-trivago-gmbh,"Software Engineer Team Lead - Hadoop at trivago GmbH (D’Û_—ù’ÛÎÙ’_Î©___’Û_—ù’ÛÎÙ’_Î©’Û_—ù’ÛÎÙ’_Î©_sseldorf, Deutschland)",trivago GmbH,Dusseldorf,51.22172,6.77616,Germany,"hadoop,algorithm,data-structures,computer-science,software-engineering",hadoop,algorithm,data-structures,computer-science,software-engineering,,Business Intelligence,1,35.71,3.5,1,1
http://careers.stackoverflow.com/jobs/84704/bmw-group-principal-system-debug-engineer-bmw-group,"BMW Group - Principal System Debug Engineer/Infotainment Head Unit Software(m/f) at BMW Group (Ulm, Deutschland)",BMW Group,Ulm,48.39841,9.99155,Germany,"python,c++,linux,git,testing",python,c++,linux,git,testing,,Data Management,1,3.33,3.85,1,1
http://careers.stackoverflow.com/jobs/84716/senior-frontend-engineer-for-onefootball-onefootball-gmbh,"Senior Frontend Engineer for Onefootball at Onefootball GmbH (Berlin, Deutschland)",Onefootball GmbH,Berlin,52.52437,13.41053,Germany,"javascript,angularjs,gruntjs,bower,unit-testing",javascript,angularjs,gruntjs,bower,unit-testing,,Data Engineering,1,26.67,5.19,1,1
http://careers.stackoverflow.com/jobs/85568/salesforce-developer-m-f-delivery-hero,"Salesforce Developer (m/f) at Delivery Hero (Berlin, Germany)",Delivery Hero,Berlin,52.52437,13.41053,Germany,"javascript,jquery,rest,apex,salesforce",javascript,jquery,rest,apex,salesforce,,Artificial Intelligence,1,36.67,22.45,1,1
http://careers.stackoverflow.com/jobs/87106/data-engineer-m-f-project-a-ventures,"Data Engineer (m/f) at Project A Ventures (Berlin, Germany)",Project A Ventures,Berlin,52.52437,13.41053,Germany,"java,python,postgresql,php,linux",java,python,postgresql,php,linux,,Cloud Computing,1,13.33,2.7,1,1
http://careers.stackoverflow.com/jobs/87944/backend-web-developer-java-m-w-munich-mylivn,"Backend Web Developer JAVA (m/w) ( Munich, Germany) at mylivn (Munich, Germany)",mylivn,Munich,48.13743,11.57549,Germany,"java,nosql,playframework,spring,akka",java,nosql,playframework,spring,akka,,Business Intelligence,1,20,4.2,1,1
http://careers.stackoverflow.com/jobs/88004/quality-assurance-engineer-m-f-rendering-dassault-systemes-3dexcite,"Quality Assurance Engineer (m/f) - Rendering & Cloud Computing at Dassault Systemes 3DExcite GmbH (M’Û_—ù’ÛÎÙ’_Î©___’Û_—ù’ÛÎÙ’_Î©’Û_—ù’ÛÎÙ’_Î©_nchen, Deutschland)",Dassault Systemes 3DExcite GmbH,Munich,48.13743,11.57549,Germany,"python,linux,windows,3d",python,linux,windows,3,,,Data Management,1,4.99,80.77,1,1
http://careers.stackoverflow.com/jobs/88540/software-developer-c-plus-plus-m-f-definiens-ag,"Software Developer C++ (m/f) at Definiens AG (M’Û_—ù’ÛÎÙ’_Î©___’Û_—ù’ÛÎÙ’_Î©’Û_—ù’ÛÎÙ’_Î©_nchen, Deutschland)",Definiens AG,Munich,48.13743,11.57549,Germany,"nosql,c++,multithreading,tcp-ip,winapi",nosql,c++,multithreading,tcp-ip,winapi,,Data Quality Management,1,0.24,100,1,1
http://careers.stackoverflow.com/jobs/89296/discovery-software-engineer-m-f-rocket-internet-se,"Discovery Software Engineer (m/f) at Rocket Internet SE (Berlin, Germany)",Rocket Internet SE,Berlin,52.52437,13.41053,Germany,"python,go,elasticsearch",python,go,elasticsearch,,,,Data Governance,1,6.41,90,1,1
http://careers.stackoverflow.com/jobs/90905/senior-java-developer-m-w-proemion-gmbh,"Senior Java Developer (m/w) at PROEMION GmbH (Fulda, Deutschland)",PROEMION GmbH,Fulda,50.55162,9.67518,Germany,"java,postgresql,spring,java-ee,jax-rs",java,postgresql,spring,java-ee,jax-rs,,Data Analysis,1,3.33,93.33,1,1
http://careers.stackoverflow.com/jobs/91009/senior-software-developer-w-m-etracker-gmbh,"(Senior) Software Developer (w/m) at etracker GmbH (Hamburg, Deutschland)",etracker GmbH,Hamburg,53.57532,10.01534,Germany,"java,bigdata,oop,unix,open-source",java,bigdata,oop,unix,open-source,,Data Engineering,1,29.93,81.82,1,1
http://careers.stackoverflow.com/jobs/91175/senior-c-sharp-entwickler-m-w-statista-gmbh,"(Senior-) C# Entwickler (m/w) at Statista GmbH (Hamburg, Deutschland)",Statista GmbH,Hamburg,53.57532,10.01534,Germany,"tdd,linux,c,wpf,winforms",tdd,linux,c,wpf,winforms,,Data Visualization,1,0.71,42.86,1,1
http://careers.stackoverflow.com/jobs/91412/software-engineer-recommender-systems-junior-zalando-se,"Software Engineer, Recommender Systems (Junior, Senior) at Zalando SE (Berlin, Germany)",Zalando SE,Berlin,52.52437,13.41053,Germany,"java,storm,spark,kafka,aerospike",java,storm,spark,kafka,aerospike,,Artificial Intelligence,1,7.13,61.22,1,1
http://careers.stackoverflow.com/jobs/91496/algorithmic-software-engineer-junior-senior-zalando-se,"Algorithmic Software Engineer (junior/senior) (Berlin, Dublin) at Zalando SE (Berlin, Germany)",Zalando SE,Berlin,52.52437,13.41053,Germany,"java,python,scala,restful-authentication",java,python,scala,restful-authentication,,,Cloud Computing,1,21.14,60.14,1,1
http://careers.stackoverflow.com/jobs/91550/frontend-developer-visualization-expert-zalando-se,"Frontend Developer /Visualization Expert at Zalando SE (Berlin, Germany)",Zalando SE,Berlin,52.52437,13.41053,Germany,"javascript,css3,html5",javascript,css3,html5,,,,Mathematics,1,3.33,53.85,1,1
http://careers.stackoverflow.com/jobs/91680/data-warehouse-engineer-junior-senior-zalando-se,"Data Warehouse Engineer (junior/senior) at Zalando SE (Berlin, Germany)",Zalando SE,Berlin,52.52437,13.41053,Germany,"java,python,postgresql,sql,oracle",java,python,postgresql,sql,oracle,,Statistics,1,0.24,50,1,1
http://careers.stackoverflow.com/jobs/91682/big-data-architect-zalando-se,"Big Data Architect at Zalando SE (Berlin, Germany)",Zalando SE,Berlin,52.52437,13.41053,Germany,"java,python,machine-learning,scala",java,python,machine-learning,scala,,,Business Intelligence,1,22.57,66.43,1,1
http://careers.stackoverflow.com/jobs/91687/security-analyst-m-f-zalando-se,"Security Analyst (m/f) at Zalando SE (Berlin, Germany)",Zalando SE,Berlin,52.52437,13.41053,Germany,"html5,security",html5,security,,,,,Data Management,1,4.17,11.54,1,1
http://careers.stackoverflow.com/jobs/92034/senior-software-engineer-android-here-a-nokia-company,"Senior Software Engineer - Android at HERE, a Nokia company (Berlin, Germany)","HERE, a Nokia company",Berlin,52.52437,13.41053,Germany,"java,json,android,mobile,sdk",java,json,android,mobile,sdk,,Data Governance,1,2.78,6.67,1,1
http://careers.stackoverflow.com/jobs/92734/build-and-tools-tech-lead-devops-jenkins-c-plus-plus-here-a-nokia-company,"Build and Tools Tech Lead - DevOps, Jenkins, C++, Python at HERE, a Nokia company (Berlin, Germany)","HERE, a Nokia company",Berlin,52.52437,13.41053,Germany,"python,c++,devops,hudson,jenkins",python,c++,devops,hudson,jenkins,,Data Engineering,1,15.28,7.14,1,1
http://careers.stackoverflow.com/jobs/93236/frontend-developer-m-f-celonis-gmbh,"Frontend Developer (m/f) at Celonis GmbH (M’Û_—ù’ÛÎÙ’_Î©___’Û_—ù’ÛÎÙ’_Î©’Û_—ù’ÛÎÙ’_Î©_nchen, Deutschland)",Celonis GmbH,Munich,48.13743,11.57549,Germany,"css,html,javascript,angularjs,rest",css,html,javascript,angularjs,rest,,Artificial Intelligence,1,4.17,6.12,1,1
